,car_name,sub_name,quentity
114,GLC-Class,GLC350e 4MATIC,19
115,GLC-Class,AMG GLC63 4MATIC+,5
116,GLC-Class,AMG GLC63 4MATIC+,5
117,SLC-Class,SLC250,32
118,SLC-Class,SLC43 AMG,1
119,SLC-Class,SLC43 AMG,1
120,GLS-Class,GLS500 4MATIC,14
121,GLS-Class,GLS500 4MATIC,14
122,The New AMG GT,GT,12
123,The New AMG GT,GT C Roadster,2
124,The New AMG GT,GT C Roadster,2
125,GLA-Class,AMG GLA45 4MATIC,4
126,GLA-Class,GLA220,2
127,GLA-Class,GLA250 4MATIC,2
128,GLA-Class,GLA250 4MATIC,2
129,C-Class,C350e,4
130,C-Class,C200 4MATIC,3
131,C-Class,C200 4MATIC,3
132,CLA-Class,CLA250 4MATIC,6
133,CLA-Class,CLA250 4MATIC,6
134,SL-Class,SL400,3
135,SL-Class,SL400,3
136,A-Class,A200,2
137,A-Class,A200,2
